geoid,name,B19013001,"B19013001, Error"
14000US36047003000,"Census Tract 30, Kings, NY",99511,32929
14000US36047003101,"Census Tract 31.01, Kings, NY",151300,42734
14000US36047003102,"Census Tract 31.02, Kings, NY",,
14000US36047003300,"Census Tract 33, Kings, NY",126101,38204
14000US36047003400,"Census Tract 34, Kings, NY",88897,19273
14000US36047003500,"Census Tract 35, Kings, NY",132528,19272
14000US36047003600,"Census Tract 36, Kings, NY",77536,16000
14000US36047003700,"Census Tract 37, Kings, NY",144732,22556
14000US36047003800,"Census Tract 38, Kings, NY",132865,30840
14000US36047003900,"Census Tract 39, Kings, NY",126429,20906
14000US36047004100,"Census Tract 41, Kings, NY",195750,17962
14000US36047004300,"Census Tract 43, Kings, NY",136226,18757
14000US36047004400,"Census Tract 44, Kings, NY",128024,15793
14000US36047004500,"Census Tract 45, Kings, NY",152157,5366
14000US36047004600,"Census Tract 46, Kings, NY",122813,114669
14000US36047004700,"Census Tract 47, Kings, NY",122969,22229
14000US36047004900,"Census Tract 49, Kings, NY",157431,25602
14000US36047005000,"Census Tract 50, Kings, NY",125958,24392
14000US36047005100,"Census Tract 51, Kings, NY",155991,35151
14000US36047005201,"Census Tract 52.01, Kings, NY",59400,20152
14000US36047005202,"Census Tract 52.02, Kings, NY",103750,14251
14000US36047005301,"Census Tract 53.01, Kings, NY",125357,26017
14000US36047005302,"Census Tract 53.02, Kings, NY",119205,20613
14000US36047005303,"Census Tract 53.03, Kings, NY",,
14000US36047005400,"Census Tract 54, Kings, NY",74874,14893
14000US36047005601,"Census Tract 56.01, Kings, NY",67443,30433
14000US36047005602,"Census Tract 56.02, Kings, NY",77348,27417
14000US36047005800,"Census Tract 58, Kings, NY",67656,11828
14000US36047005900,"Census Tract 59, Kings, NY",86167,28460
14000US36047006000,"Census Tract 60, Kings, NY",85352,19775
14000US36047006200,"Census Tract 62, Kings, NY",68722,20608
14000US36047006300,"Census Tract 63, Kings, NY",156397,31580
14000US36047006400,"Census Tract 64, Kings, NY",93938,16149
14000US36047006500,"Census Tract 65, Kings, NY",173087,9844
14000US36047006600,"Census Tract 66, Kings, NY",75609,19654
14000US36047006700,"Census Tract 67, Kings, NY",193750,40200
14000US36047006800,"Census Tract 68, Kings, NY",65964,14404
14000US36047006901,"Census Tract 69.01, Kings, NY",128411,18233
14000US36047006902,"Census Tract 69.02, Kings, NY",210000,47511
14000US36047007000,"Census Tract 70, Kings, NY",78565,18697
14000US36047007100,"Census Tract 71, Kings, NY",42526,14975
14000US36047007200,"Census Tract 72, Kings, NY",46094,16263
14000US36047007400,"Census Tract 74, Kings, NY",65750,22169
14000US36047007500,"Census Tract 75, Kings, NY",139911,48558
14000US36047007600,"Census Tract 76, Kings, NY",59583,10144
14000US36047007700,"Census Tract 77, Kings, NY",175469,31622
14000US36047007800,"Census Tract 78, Kings, NY",56435,26934
14000US36047008000,"Census Tract 80, Kings, NY",66768,18590
14000US36047008200,"Census Tract 82, Kings, NY",42679,21697
14000US36047008400,"Census Tract 84, Kings, NY",71546,21763
14000US36047008500,"Census Tract 85, Kings, NY",16206,8110
14000US36047008600,"Census Tract 86, Kings, NY",,
14000US36047008800,"Census Tract 88, Kings, NY",70241,29652
14000US36047009001,"Census Tract 90.01, Kings, NY",63631,18143
14000US36047009002,"Census Tract 90.02, Kings, NY",53712,5890
14000US36047009201,"Census Tract 92.01, Kings, NY",70750,31677
14000US36047009202,"Census Tract 92.02, Kings, NY",48571,14424
14000US36047009401,"Census Tract 94.01, Kings, NY",40978,9967
14000US36047009402,"Census Tract 94.02, Kings, NY",63344,20224
14000US36047009600,"Census Tract 96, Kings, NY",63457,15986
14000US36047009800,"Census Tract 98, Kings, NY",55284,12241
14000US36047010000,"Census Tract 100, Kings, NY",53500,16634
14000US36047010100,"Census Tract 101, Kings, NY",92015,36100
14000US36047010200,"Census Tract 102, Kings, NY",59188,9926
