wkt_geom,MEAN_X,MEAN_Y,object_id,lat,lon,GEOID,STATE,COUNTY,TRACT,BLOCK
Point (988429.22522538900375366 210222.17507780343294144),988429.2252253891,210222.17507780343,456.0,40.74369,-73.9849177,360610074002002,36,061,007400,2002
Point (988490.00610776245594025 211364.97987881302833557),988490.0061077623,211364.97987881306,267.0,40.74682,-73.98469759999999,360610074005002,36,061,007400,5002
Point (988495.40947622060775757 216334.17614118754863739),988495.4094762206,216334.17614118755,192.0,40.760459999999995,-73.984675,360610125003000,36,061,012500,3000
Point (988507.85236471891403198 203968.45923881232738495),988507.8523647188,203968.45923881236,258.0,40.72652,-73.984638,360610032001001,36,061,003200,1001
Point (988526.93959688395261765 206808.12006209790706635),988526.9395968841,206808.12006209788,260.0,40.734320000000004,-73.9845673,360610048003000,36,061,004800,3000
Point (988570.72510643303394318 184286.0153360590338707),988570.7251064329,184286.01533605906,66.0,40.6725,-73.98442390000001,360470135002000,36,047,013500,2000
Point (988604.30033455789089203 216572.37464772909879684),988604.300334558,216572.3746477291,193.0,40.76112,-73.98428179999999,360610125002001,36,061,012500,2001
Point (988631.00828638672828674 204192.78310117870569229),988631.0082863868,204192.7831011787,185.0,40.727140000000006,-73.9841935,360610032001000,36,061,003200,1000
Point (988638.42018100619316101 189161.72490876913070679),988638.4201810062,189161.72490876913,67.0,40.68588,-73.9841766,360470041003000,36,047,004100,3000
Point (988676.62450092285871506 222686.27957868576049805),988676.6245009229,222686.27957868573,196.0,40.7779,-73.9840167,360610159007000,36,061,015900,7000
