wkt_geom	MEAN_X	MEAN_Y	object_id	lat	lon
Point (987004.2595713883638382 192711.38710076361894608)	987004.2595713884	192711.38710076362	417	40.69562	-73.9900674
Point (987015.02037663757801056 201059.89993126690387726)	987015.0203766376	201059.8999312669	419	40.71854	-73.9900251
Point (987062.29406818002462387 200869.58879613876342773)	987062.29406818	200869.58879613876	180	40.71802	-73.9898547
Point (987132.27932846546173096 195351.05226106196641922)	987132.2793284655	195351.05226106194	50	40.70287	-73.9896046
Point (987144.88625863194465637 181653.49222185462713242)	987144.886258632	181653.49222185463	24	40.66527	-73.9895651
Point (987163.2331707626581192 208964.9595804363489151)	987163.2331707627	208964.95958043632	256	40.74024	-73.989487
Point (987201.74900580197572708 216311.2304849773645401)	987201.749005802	216311.23048497736	265	40.7604	-73.9893448
Point (987201.88187955319881439 201730.70600435137748718)	987201.8818795532	201730.70600435138	181	40.72038	-73.9893507
Point (987226.49091826379299164 209236.89637251943349838)	987226.4909182638	209236.89637251943	462	40.74098	-73.9892586
Point (987274.72950288653373718 210125.15919572860002518)	987274.7295028867	210125.1591957286	184	40.74342	-73.9890841
Point (987314.29307205229997635 210398.95457988977432251)	987314.2930720523	210398.95457988977	264	40.74417	-73.9889412
Point (987353.3363010510802269 210670.51899739354848862)	987353.3363010511	210670.51899739355	190	40.74492	-73.9888002
Point (987355.64633580297231674 208430.27872722595930099)	987355.646335803	208430.27872722596	455	40.73877	-73.9887929
Point (987357.74934997409582138 204901.06925022602081299)	987357.7493499741	204901.06925022602	183	40.72908	-73.988787
Point (987360.16240289062261581 202155.82999005913734436)	987360.1624028906	202155.82999005914	253	40.72155	-73.9887795
Point (987372.6280931755900383 201665.23172584921121597)	987372.6280931756	201665.2317258492	251	40.7202	-73.9887348
Point (987395.85458871722221375 199353.87726064026355743)	987395.8545887172	199353.87726064026	51	40.71386	-73.9886521
Point (987426.13208721578121185 199095.88630680739879608)	987426.1320872158	199095.88630680743	83	40.71315	-73.988543
Point (987433.14814930409193039 189778.20825584977865219)	987433.1481493041	189778.20825584978	65	40.68757	-73.9885222
Point (987522.88058138638734818 191409.22746755927801132)	987522.8805813864	191409.22746755928	47	40.69205	-73.9881978
Point (987531.06462013721466064 191683.21478047221899033)	987531.0646201372	191683.21478047222	49	40.6928	-73.9881682
Point (987535.555916927754879 202086.2632000595331192)	987535.5559169278	202086.26320005953	254	40.72136	-73.9881468
Point (987559.00419680029153824 201834.10458364337682724)	987559.0041968003	201834.10458364338	252	40.72066	-73.9880624
Point (987563.28289559483528137 182311.85852322727441788)	987563.2828955948	182311.85852322725	25	40.66708	-73.9880566
